@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,163,0,161,0,1,1,0.503086,1,0.496914,0.669405,1,1,0
1,163,0,160,1,0.993789,1,0.504644,1,0.495356,0.670782,0.996914,1.003096,0
2,163,0,159,2,0.987578,1,0.506211,1,0.493789,0.672165,0.993827,1.006211,0.000001
3,163,0,158,3,0.981366,1,0.507788,1,0.492212,0.673554,0.990741,1.009346,0.000001
4,163,0,157,4,0.975155,1,0.509375,1,0.490625,0.674948,0.987654,1.0125,0.000001
5,163,0,156,5,0.968944,1,0.510972,1,0.489028,0.676349,0.984568,1.015674,0.000002
6,163,0,155,6,0.962733,1,0.512579,1,0.487421,0.677755,0.981481,1.018868,0.000002
7,163,0,154,7,0.956522,1,0.514196,1,0.485804,0.679167,0.978395,1.022082,0.000004
8,163,0,153,8,0.950311,1,0.515823,1,0.484177,0.680585,0.975309,1.025316,0.000004
9,163,0,152,9,0.944099,1,0.51746,1,0.48254,0.682008,0.972222,1.028571,0.000005
10,163,0,151,10,0.937888,1,0.519108,1,0.480892,0.683438,0.969136,1.031847,0.000007
11,163,0,150,11,0.931677,1,0.520767,1,0.479233,0.684874,0.966049,1.035144,0.000008
12,163,0,149,12,0.925466,1,0.522436,1,0.477564,0.686316,0.962963,1.038462,0.000011
13,163,0,148,13,0.919255,1,0.524116,1,0.475884,0.687764,0.959877,1.041801,0.000013
14,163,0,147,14,0.913043,1,0.525806,1,0.474194,0.689218,0.95679,1.045161,0.000014
15,163,0,146,15,0.906832,1,0.527508,1,0.472492,0.690678,0.953704,1.048544,0.000018
16,163,0,145,16,0.900621,1,0.529221,1,0.470779,0.692144,0.950617,1.051948,0.000018
17,163,0,144,17,0.89441,1,0.530945,1,0.469055,0.693617,0.947531,1.055375,0.000021
18,163,0,143,18,0.888199,1,0.53268,1,0.46732,0.695096,0.944444,1.058824,0.000032
19,163,0,142,19,0.881988,1,0.534426,1,0.465574,0.696581,0.941358,1.062295,0.000034
20,163,0,141,20,0.875776,1,0.536184,1,0.463816,0.698073,0.938272,1.065789,0.000035
21,163,0,140,21,0.869565,1,0.537954,1,0.462046,0.699571,0.935185,1.069307,0.000047
22,163,0,139,22,0.863354,1,0.539735,1,0.460265,0.701075,0.932099,1.072848,0.000053
23,163,0,138,23,0.857143,1,0.541528,1,0.458472,0.702586,0.929012,1.076412,0.000055
24,163,0,137,24,0.850932,1,0.543333,1,0.456667,0.704104,0.925926,1.08,0.000072
25,163,0,136,25,0.84472,1,0.545151,1,0.454849,0.705628,0.92284,1.083612,0.00008
26,163,0,135,26,0.838509,1,0.54698,1,0.45302,0.707158,0.919753,1.087248,0.000081
27,163,0,134,27,0.832298,1,0.548822,1,0.451178,0.708696,0.916667,1.090909,0.000082
28,163,0,133,28,0.826087,1,0.550676,1,0.449324,0.71024,0.91358,1.094595,0.000084
29,163,0,132,29,0.819876,1,0.552542,1,0.447458,0.71179,0.910494,1.098305,0.000087
30,163,0,131,30,0.813665,1,0.554422,1,0.445578,0.713348,0.907407,1.102041,0.0001
31,163,0,130,31,0.807453,1,0.556314,1,0.443686,0.714912,0.904321,1.105802,0.000114
32,163,0,129,32,0.801242,1,0.558219,1,0.441781,0.716484,0.901235,1.109589,0.000124
33,163,0,128,33,0.795031,1,0.560137,1,0.439863,0.718062,0.898148,1.113402,0.000141
34,163,0,127,34,0.78882,1,0.562069,1,0.437931,0.719647,0.895062,1.117241,0.00015
35,163,0,126,35,0.782609,1,0.564014,1,0.435986,0.721239,0.891975,1.121107,0.000173
36,163,0,125,36,0.776398,1,0.565972,1,0.434028,0.722838,0.888889,1.125,0.000201
37,163,0,124,37,0.770186,1,0.567944,1,0.432056,0.724444,0.885802,1.12892,0.000234
38,163,0,123,38,0.763975,1,0.56993,1,0.43007,0.726058,0.882716,1.132867,0.000288
39,163,0,122,39,0.757764,1,0.57193,1,0.42807,0.727679,0.87963,1.136842,0.000314
40,163,0,121,40,0.751553,1,0.573944,1,0.426056,0.729306,0.876543,1.140845,0.00032
41,163,0,120,41,0.745342,1,0.575972,1,0.424028,0.730942,0.873457,1.144876,0.000363
42,163,0,119,42,0.73913,1,0.578014,1,0.421986,0.732584,0.87037,1.148936,0.000369
43,163,0,118,43,0.732919,1,0.580071,1,0.419929,0.734234,0.867284,1.153025,0.000401
44,162,1,118,43,0.732919,0.993865,0.578571,0.993865,0.421429,0.731377,0.864198,1.150044,0.000501
45,162,1,117,44,0.726708,0.993865,0.580645,0.993865,0.419355,0.733032,0.861111,1.154166,0.000562
46,162,1,116,45,0.720497,0.993865,0.582734,0.993865,0.417266,0.734694,0.858025,1.158318,0.000737
47,162,1,115,46,0.714286,0.993865,0.584838,0.993865,0.415162,0.736364,0.854938,1.162499,0.000777
48,162,1,114,47,0.708075,0.993865,0.586957,0.993865,0.413043,0.738041,0.851852,1.166711,0.000798
49,162,1,113,48,0.701863,0.993865,0.589091,0.993865,0.410909,0.739726,0.848765,1.170954,0.000829
50,162,1,112,49,0.695652,0.993865,0.591241,0.993865,0.408759,0.741419,0.845679,1.175227,0.000856
51,162,1,111,50,0.689441,0.993865,0.593407,0.993865,0.406593,0.743119,0.842593,1.179532,0.000929
52,162,1,110,51,0.68323,0.993865,0.595588,0.993865,0.404412,0.744828,0.839506,1.183869,0.001016
53,162,1,109,52,0.677019,0.993865,0.597786,0.993865,0.402214,0.746544,0.83642,1.188237,0.001066
54,162,1,108,53,0.670807,0.993865,0.6,0.993865,0.4,0.748268,0.833333,1.192638,0.001067
55,162,1,107,54,0.664596,0.993865,0.60223,0.993865,0.39777,0.75,0.830247,1.197072,0.001352
56,162,1,106,55,0.658385,0.993865,0.604478,0.993865,0.395522,0.75174,0.82716,1.201538,0.001481
57,162,1,105,56,0.652174,0.993865,0.606742,0.993865,0.393258,0.753488,0.824074,1.206038,0.001496
58,162,1,104,57,0.645963,0.993865,0.609023,0.993865,0.390977,0.755245,0.820988,1.210572,0.001576
59,162,1,103,58,0.639752,0.993865,0.611321,0.993865,0.388679,0.757009,0.817901,1.215141,0.00159
60,162,1,102,59,0.63354,0.993865,0.613636,0.993865,0.386364,0.758782,0.814815,1.219743,0.001652
61,162,1,101,60,0.627329,0.993865,0.61597,0.993865,0.38403,0.760563,0.811728,1.224381,0.001653
62,162,1,100,61,0.621118,0.993865,0.618321,0.993865,0.381679,0.762353,0.808642,1.229054,0.00171
63,162,1,99,62,0.614907,0.993865,0.62069,0.993865,0.37931,0.764151,0.805556,1.233763,0.001803
64,162,1,98,63,0.608696,0.993865,0.623077,0.993865,0.376923,0.765957,0.802469,1.238509,0.002145
65,161,2,98,63,0.608696,0.98773,0.621622,0.98773,0.378378,0.763033,0.799383,1.235616,0.002225
66,161,2,97,64,0.602484,0.98773,0.624031,0.98773,0.375969,0.764846,0.796296,1.240405,0.002298
67,161,2,96,65,0.596273,0.98773,0.626459,0.98773,0.373541,0.766667,0.79321,1.245232,0.002321
68,161,2,95,66,0.590062,0.98773,0.628906,0.98773,0.371094,0.768496,0.790123,1.250096,0.00238
69,161,2,94,67,0.583851,0.98773,0.631373,0.98773,0.368627,0.770335,0.787037,1.254998,0.002439
70,161,2,93,68,0.57764,0.98773,0.633858,0.98773,0.366142,0.772182,0.783951,1.259939,0.002544
71,161,2,92,69,0.571429,0.98773,0.636364,0.98773,0.363636,0.774038,0.780864,1.264919,0.002857
72,161,2,91,70,0.565217,0.98773,0.638889,0.98773,0.361111,0.775904,0.777778,1.269939,0.002935
73,161,2,90,71,0.559006,0.98773,0.641434,0.98773,0.358566,0.777778,0.774691,1.274998,0.00357
74,161,2,89,72,0.552795,0.98773,0.644,0.98773,0.356,0.779661,0.771605,1.280098,0.003602
75,161,2,88,73,0.546584,0.98773,0.646586,0.98773,0.353414,0.781553,0.768519,1.285239,0.003826
76,161,2,87,74,0.540373,0.98773,0.649194,0.98773,0.350806,0.783455,0.765432,1.290422,0.003881
77,161,2,86,75,0.534161,0.98773,0.651822,0.98773,0.348178,0.785366,0.762346,1.295646,0.004008
78,161,2,85,76,0.52795,0.98773,0.654472,0.98773,0.345528,0.787286,0.759259,1.300913,0.004089
79,161,2,84,77,0.521739,0.98773,0.657143,0.98773,0.342857,0.789216,0.756173,1.306223,0.004752
80,161,2,83,78,0.515528,0.98773,0.659836,0.98773,0.340164,0.791155,0.753086,1.311576,0.004852
81,161,2,82,79,0.509317,0.98773,0.662551,0.98773,0.337449,0.793103,0.75,1.316973,0.005104
82,161,2,81,80,0.503106,0.98773,0.665289,0.98773,0.334711,0.795062,0.746914,1.322415,0.005133
83,161,2,80,81,0.496894,0.98773,0.66805,0.98773,0.33195,0.79703,0.743827,1.327903,0.005457
84,161,2,79,82,0.490683,0.98773,0.670833,0.98773,0.329167,0.799007,0.740741,1.333436,0.005644
85,161,2,78,83,0.484472,0.98773,0.67364,0.98773,0.32636,0.800995,0.737654,1.339015,0.006887
86,161,2,77,84,0.478261,0.98773,0.676471,0.98773,0.323529,0.802993,0.734568,1.344641,0.007505
87,161,2,76,85,0.47205,0.98773,0.679325,0.98773,0.320675,0.805,0.731481,1.350315,0.008281
88,161,2,75,86,0.465839,0.98773,0.682203,0.98773,0.317797,0.807018,0.728395,1.356036,0.008342
89,161,2,74,87,0.459627,0.98773,0.685106,0.98773,0.314894,0.809045,0.725309,1.361807,0.009766
90,161,2,73,88,0.453416,0.98773,0.688034,0.98773,0.311966,0.811083,0.722222,1.367626,0.009805
91,161,2,72,89,0.447205,0.98773,0.690987,0.98773,0.309013,0.813131,0.719136,1.373496,0.012096
92,161,2,71,90,0.440994,0.98773,0.693966,0.98773,0.306034,0.81519,0.716049,1.379416,0.012885
93,161,2,70,91,0.434783,0.98773,0.69697,0.98773,0.30303,0.817259,0.712963,1.385388,0.013709
94,161,2,69,92,0.428571,0.98773,0.7,0.98773,0.3,0.819338,0.709877,1.391411,0.014219
95,161,2,68,93,0.42236,0.98773,0.703057,0.98773,0.296943,0.821429,0.70679,1.397487,0.015486
96,161,2,67,94,0.416149,0.98773,0.70614,0.98773,0.29386,0.823529,0.703704,1.403616,0.015914
97,161,2,66,95,0.409938,0.98773,0.709251,0.98773,0.290749,0.825641,0.700617,1.4098,0.016004
98,161,2,65,96,0.403727,0.98773,0.712389,0.98773,0.287611,0.827763,0.697531,1.416038,0.016437
99,161,2,64,97,0.397516,0.98773,0.715556,0.98773,0.284444,0.829897,0.694444,1.422331,0.016476
100,161,2,63,98,0.391304,0.98773,0.71875,0.98773,0.28125,0.832041,0.691358,1.428681,0.020883
101,161,2,62,99,0.385093,0.98773,0.721973,0.98773,0.278027,0.834197,0.688272,1.435088,0.021413
102,161,2,61,100,0.378882,0.98773,0.725225,0.98773,0.274775,0.836364,0.685185,1.441552,0.021761
103,161,2,60,101,0.372671,0.98773,0.728507,0.98773,0.271493,0.838542,0.682099,1.448075,0.023423
104,161,2,59,102,0.36646,0.98773,0.731818,0.98773,0.268182,0.840731,0.679012,1.454657,0.024485
105,161,2,58,103,0.360248,0.98773,0.73516,0.98773,0.26484,0.842932,0.675926,1.461299,0.030651
106,161,2,57,104,0.354037,0.98773,0.738532,0.98773,0.261468,0.845144,0.67284,1.468002,0.034
107,161,2,56,105,0.347826,0.98773,0.741935,0.98773,0.258065,0.847368,0.669753,1.474767,0.034971
108,161,2,55,106,0.341615,0.98773,0.74537,0.98773,0.25463,0.849604,0.666667,1.481595,0.035163
109,161,2,54,107,0.335404,0.98773,0.748837,0.98773,0.251163,0.851852,0.66358,1.488486,0.043307
110,161,2,53,108,0.329193,0.98773,0.752336,0.98773,0.247664,0.854111,0.660494,1.495442,0.044412
111,161,2,52,109,0.322981,0.98773,0.755869,0.98773,0.244131,0.856383,0.657407,1.502463,0.045884
112,161,2,51,110,0.31677,0.98773,0.759434,0.98773,0.240566,0.858667,0.654321,1.50955,0.049853
113,161,2,50,111,0.310559,0.98773,0.763033,0.98773,0.236967,0.860963,0.651235,1.516704,0.050953
114,161,2,49,112,0.304348,0.98773,0.766667,0.98773,0.233333,0.863271,0.648148,1.523926,0.053278
115,161,2,48,113,0.298137,0.98773,0.770335,0.98773,0.229665,0.865591,0.645062,1.531218,0.053619
116,161,2,47,114,0.291925,0.98773,0.774038,0.98773,0.225962,0.867925,0.641975,1.53858,0.060194
117,161,2,46,115,0.285714,0.98773,0.777778,0.98773,0.222222,0.87027,0.638889,1.546012,0.06028
118,161,2,45,116,0.279503,0.98773,0.781553,0.98773,0.218447,0.872629,0.635802,1.553517,0.074807
119,161,2,44,117,0.273292,0.98773,0.785366,0.98773,0.214634,0.875,0.632716,1.561095,0.078524
120,161,2,43,118,0.267081,0.98773,0.789216,0.98773,0.210784,0.877384,0.62963,1.568748,0.087494
121,161,2,42,119,0.26087,0.98773,0.793103,0.98773,0.206897,0.879781,0.626543,1.576476,0.095026
122,161,2,41,120,0.254658,0.98773,0.79703,0.98773,0.20297,0.882192,0.623457,1.58428,0.095492
123,161,2,40,121,0.248447,0.98773,0.800995,0.98773,0.199005,0.884615,0.62037,1.592162,0.09853
124,161,2,39,122,0.242236,0.98773,0.805,0.98773,0.195,0.887052,0.617284,1.600123,0.099288
125,160,3,39,122,0.242236,0.981595,0.80402,0.981595,0.19598,0.883978,0.614198,1.598175,0.112783
126,160,3,38,123,0.236025,0.981595,0.808081,0.981595,0.191919,0.886427,0.611111,1.606247,0.114582
127,160,3,37,124,0.229814,0.981595,0.812183,0.981595,0.187817,0.888889,0.608025,1.6144,0.120576
128,160,3,36,125,0.223602,0.981595,0.816327,0.981595,0.183673,0.891365,0.604938,1.622637,0.124048
129,160,3,35,126,0.217391,0.981595,0.820513,0.981595,0.179487,0.893855,0.601852,1.630958,0.12732
130,159,4,35,126,0.217391,0.97546,0.819588,0.97546,0.180412,0.890756,0.598765,1.629119,0.128862
131,159,4,34,127,0.21118,0.97546,0.823834,0.97546,0.176166,0.893258,0.595679,1.63756,0.129312
132,159,4,33,128,0.204969,0.97546,0.828125,0.97546,0.171875,0.895775,0.592593,1.646089,0.141879
133,158,5,33,128,0.204969,0.969325,0.827225,0.969325,0.172775,0.892655,0.589506,1.6443,0.155641
134,158,5,32,129,0.198758,0.969325,0.831579,0.969325,0.168421,0.895184,0.58642,1.652954,0.155781
135,158,5,31,130,0.192547,0.969325,0.835979,0.969325,0.164021,0.897727,0.583333,1.6617,0.163851
136,158,5,30,131,0.186335,0.969325,0.840426,0.969325,0.159574,0.900285,0.580247,1.670539,0.165208
137,157,6,30,131,0.186335,0.96319,0.839572,0.96319,0.160428,0.897143,0.57716,1.668843,0.165742
138,157,6,29,132,0.180124,0.96319,0.844086,0.96319,0.155914,0.899713,0.574074,1.677815,0.183098
139,157,6,28,133,0.173913,0.96319,0.848649,0.96319,0.151351,0.902299,0.570988,1.686884,0.238467
140,157,6,27,134,0.167702,0.96319,0.853261,0.96319,0.146739,0.904899,0.567901,1.696052,0.242984
141,157,6,26,135,0.161491,0.96319,0.857923,0.96319,0.142077,0.907514,0.564815,1.70532,0.260183
142,157,6,25,136,0.15528,0.96319,0.862637,0.96319,0.137363,0.910145,0.561728,1.71469,0.270438
143,157,6,24,137,0.149068,0.96319,0.867403,0.96319,0.132597,0.912791,0.558642,1.724164,0.272719
144,157,6,23,138,0.142857,0.96319,0.872222,0.96319,0.127778,0.915452,0.555556,1.733742,0.291419
145,156,7,23,138,0.142857,0.957055,0.871508,0.957055,0.128492,0.912281,0.552469,1.732323,0.302966
146,156,7,22,139,0.136646,0.957055,0.876404,0.957055,0.123596,0.914956,0.549383,1.742056,0.308572
147,156,7,21,140,0.130435,0.957055,0.881356,0.957055,0.118644,0.917647,0.546296,1.751898,0.323065
148,156,7,20,141,0.124224,0.957055,0.886364,0.957055,0.113636,0.920354,0.54321,1.761852,0.335311
149,156,7,19,142,0.118012,0.957055,0.891429,0.957055,0.108571,0.923077,0.540123,1.771919,0.339505
150,156,7,18,143,0.111801,0.957055,0.896552,0.957055,0.103448,0.925816,0.537037,1.782103,0.34097
151,156,7,17,144,0.10559,0.957055,0.901734,0.957055,0.098266,0.928571,0.533951,1.792404,0.343729
152,155,8,17,144,0.10559,0.95092,0.901163,0.95092,0.098837,0.925373,0.530864,1.791268,0.351956
153,155,8,16,145,0.099379,0.95092,0.906433,0.95092,0.093567,0.928144,0.527778,1.801744,0.353939
154,154,9,16,145,0.099379,0.944785,0.905882,0.944785,0.094118,0.924925,0.524691,1.80065,0.360844
155,154,9,15,146,0.093168,0.944785,0.911243,0.944785,0.088757,0.927711,0.521605,1.811304,0.3728
156,154,9,14,147,0.086957,0.944785,0.916667,0.944785,0.083333,0.930514,0.518519,1.822086,0.383662
157,154,9,13,148,0.080745,0.944785,0.922156,0.944785,0.077844,0.933333,0.515432,1.832997,0.400898
158,154,9,12,149,0.074534,0.944785,0.927711,0.944785,0.072289,0.93617,0.512346,1.844039,0.418117
159,153,10,12,149,0.074534,0.93865,0.927273,0.93865,0.072727,0.932927,0.509259,1.843168,0.429333
160,152,11,12,149,0.074534,0.932515,0.926829,0.932515,0.073171,0.929664,0.506173,1.842286,0.472292
161,152,11,11,150,0.068323,0.932515,0.932515,0.932515,0.067485,0.932515,0.503086,1.853589,0.499373
162,151,12,11,150,0.068323,0.92638,0.932099,0.92638,0.067901,0.929231,0.5,1.852761,0.553736
163,150,13,11,150,0.068323,0.920245,0.931677,0.920245,0.068323,0.925926,0.496914,1.851922,0.555601
164,149,14,11,150,0.068323,0.91411,0.93125,0.91411,0.06875,0.922601,0.493827,1.851074,0.569999
165,148,15,11,150,0.068323,0.907975,0.930818,0.907975,0.069182,0.919255,0.490741,1.850214,0.572851
166,148,15,10,151,0.062112,0.907975,0.936709,0.907975,0.063291,0.922118,0.487654,1.861924,0.586977
167,147,16,10,151,0.062112,0.90184,0.936306,0.90184,0.063694,0.91875,0.484568,1.861123,0.595254
168,146,17,10,151,0.062112,0.895706,0.935897,0.895706,0.064103,0.915361,0.481481,1.860311,0.632367
169,145,18,10,151,0.062112,0.889571,0.935484,0.889571,0.064516,0.91195,0.478395,1.859489,0.663638
170,145,18,9,152,0.055901,0.889571,0.941558,0.889571,0.058442,0.914826,0.475309,1.871564,0.675402
171,144,19,9,152,0.055901,0.883436,0.941176,0.883436,0.058824,0.911392,0.472222,1.870805,0.678146
172,144,19,8,153,0.049689,0.883436,0.947368,0.883436,0.052632,0.914286,0.469136,1.883113,0.717247
173,143,20,8,153,0.049689,0.877301,0.94702,0.877301,0.05298,0.910828,0.466049,1.88242,0.724034
174,142,21,8,153,0.049689,0.871166,0.946667,0.871166,0.053333,0.907348,0.462963,1.881718,0.728975
175,141,22,8,153,0.049689,0.865031,0.946309,0.865031,0.053691,0.903846,0.459877,1.881006,0.732714
176,141,22,7,154,0.043478,0.865031,0.952703,0.865031,0.047297,0.906752,0.45679,1.893716,0.757893
177,141,22,6,155,0.037267,0.865031,0.959184,0.865031,0.040816,0.909677,0.453704,1.906598,0.765224
178,141,22,5,156,0.031056,0.865031,0.965753,0.865031,0.034247,0.912621,0.450617,1.919657,0.765924
179,141,22,4,157,0.024845,0.865031,0.972414,0.865031,0.027586,0.915584,0.447531,1.932896,0.776417
180,140,23,4,157,0.024845,0.858896,0.972222,0.858896,0.027778,0.912052,0.444444,1.932515,0.778787
181,139,24,4,157,0.024845,0.852761,0.972028,0.852761,0.027972,0.908497,0.441358,1.932129,0.784694
182,138,25,4,157,0.024845,0.846626,0.971831,0.846626,0.028169,0.904918,0.438272,1.931738,0.817434
183,138,25,3,158,0.018634,0.846626,0.978723,0.846626,0.021277,0.907895,0.435185,1.945438,0.826367
184,137,26,3,158,0.018634,0.840491,0.978571,0.840491,0.021429,0.90429,0.432099,1.945136,0.826866
185,136,27,3,158,0.018634,0.834356,0.978417,0.834356,0.021583,0.900662,0.429012,1.944829,0.852822
186,135,28,3,158,0.018634,0.828221,0.978261,0.828221,0.021739,0.89701,0.425926,1.944519,0.864877
187,134,29,3,158,0.018634,0.822086,0.978102,0.822086,0.021898,0.893333,0.42284,1.944203,0.871801
188,133,30,3,158,0.018634,0.815951,0.977941,0.815951,0.022059,0.889632,0.419753,1.943883,0.876257
189,133,30,2,159,0.012422,0.815951,0.985185,0.815951,0.014815,0.892617,0.416667,1.958282,0.878265
190,133,30,1,160,0.006211,0.815951,0.992537,0.815951,0.007463,0.895623,0.41358,1.972896,0.880895
191,132,31,1,160,0.006211,0.809816,0.992481,0.809816,0.007519,0.891892,0.410494,1.972785,0.881274
192,131,32,1,160,0.006211,0.803681,0.992424,0.803681,0.007576,0.888136,0.407407,1.972672,0.889868
193,130,33,1,160,0.006211,0.797546,0.992366,0.797546,0.007634,0.884354,0.404321,1.972557,0.894702
194,129,34,1,160,0.006211,0.791411,0.992308,0.791411,0.007692,0.880546,0.401235,1.97244,0.895826
195,128,35,1,160,0.006211,0.785276,0.992248,0.785276,0.007752,0.876712,0.398148,1.972321,0.898293
196,127,36,1,160,0.006211,0.779141,0.992188,0.779141,0.007813,0.872852,0.395062,1.972201,0.904816
197,126,37,1,160,0.006211,0.773006,0.992126,0.773006,0.007874,0.868966,0.391975,1.972079,0.905177
198,125,38,1,160,0.006211,0.766871,0.992063,0.766871,0.007937,0.865052,0.388889,1.971954,0.917662
199,124,39,1,160,0.006211,0.760736,0.992,0.760736,0.008,0.861111,0.385802,1.971828,0.925767
200,123,40,1,160,0.006211,0.754601,0.991935,0.754601,0.008065,0.857143,0.382716,1.9717,0.926933
201,122,41,1,160,0.006211,0.748466,0.99187,0.748466,0.00813,0.853147,0.37963,1.97157,0.932608
202,121,42,1,160,0.006211,0.742331,0.991803,0.742331,0.008197,0.849123,0.376543,1.971437,0.93279
203,120,43,1,160,0.006211,0.736196,0.991736,0.736196,0.008264,0.84507,0.373457,1.971303,0.936774
204,119,44,1,160,0.006211,0.730061,0.991667,0.730061,0.008333,0.840989,0.37037,1.971166,0.943004
205,118,45,1,160,0.006211,0.723926,0.991597,0.723926,0.008403,0.836879,0.367284,1.971026,0.94698
206,117,46,1,160,0.006211,0.717791,0.991525,0.717791,0.008475,0.83274,0.364198,1.970885,0.947461
207,116,47,1,160,0.006211,0.711656,0.991453,0.711656,0.008547,0.828571,0.361111,1.970741,0.948026
208,115,48,1,160,0.006211,0.705521,0.991379,0.705521,0.008621,0.824373,0.358025,1.970594,0.949141
209,114,49,1,160,0.006211,0.699387,0.991304,0.699387,0.008696,0.820144,0.354938,1.970445,0.949877
210,113,50,1,160,0.006211,0.693252,0.991228,0.693252,0.008772,0.815884,0.351852,1.970294,0.949941
211,112,51,1,160,0.006211,0.687117,0.99115,0.687117,0.00885,0.811594,0.348765,1.97014,0.951821
212,111,52,1,160,0.006211,0.680982,0.991071,0.680982,0.008929,0.807273,0.345679,1.969982,0.95681
213,110,53,1,160,0.006211,0.674847,0.990991,0.674847,0.009009,0.80292,0.342593,1.969823,0.957024
214,109,54,1,160,0.006211,0.668712,0.990909,0.668712,0.009091,0.798535,0.339506,1.96966,0.958976
215,108,55,1,160,0.006211,0.662577,0.990826,0.662577,0.009174,0.794118,0.33642,1.969494,0.959497
216,107,56,1,160,0.006211,0.656442,0.990741,0.656442,0.009259,0.789668,0.333333,1.969325,0.962346
217,106,57,1,160,0.006211,0.650307,0.990654,0.650307,0.009346,0.785185,0.330247,1.969153,0.962356
218,105,58,1,160,0.006211,0.644172,0.990566,0.644172,0.009434,0.780669,0.32716,1.968978,0.962363
219,104,59,1,160,0.006211,0.638037,0.990476,0.638037,0.009524,0.776119,0.324074,1.968799,0.962769
