"Species","Island","Culmen.Length..mm.","Culmen.Depth..mm.","Flipper.Length..mm.","Body.Mass..g.","Delta.15.N..o.oo.","Delta.13.C..o.oo.","Sex"
"Adelie","Torgersen",39.5,17.4,186,3800,8.94956,-24.69454,"FEMALE"
"Adelie","Torgersen",40.3,18,195,3250,8.36821,-25.33302,"FEMALE"
"Adelie","Torgersen",36.7,19.3,193,3450,8.76651,-25.32426,"FEMALE"
"Adelie","Torgersen",39.3,20.6,190,3650,8.66496,-25.29805,"MALE"
"Adelie","Torgersen",38.9,17.8,181,3625,9.18718,-25.21799,"FEMALE"
"Adelie","Torgersen",39.2,19.6,195,4675,9.4606,-24.89958,"MALE"
"Adelie","Torgersen",34.6,21.1,198,4400,8.55583,-25.22588,"MALE"
"Adelie","Torgersen",38.7,19,195,3450,9.18528,-25.06691,"FEMALE"
"Adelie","Torgersen",42.5,20.7,197,4500,8.67538,-25.13993,"MALE"
"Adelie","Torgersen",34.4,18.4,184,3325,8.47827,-25.23319,"FEMALE"
"Adelie","Torgersen",46,21.5,194,4200,9.11616,-24.77227,"MALE"
"Adelie","Biscoe",37.8,18.3,174,3400,8.73762,-25.09383,"FEMALE"
"Adelie","Biscoe",37.7,18.7,180,3600,8.66271,-25.0639,"MALE"
"Adelie","Biscoe",35.9,19.2,189,3800,9.22286,-25.03474,"FEMALE"
"Adelie","Biscoe",38.2,18.1,185,3950,8.43423,-25.22664,"MALE"
"Adelie","Biscoe",38.8,17.2,180,3800,9.63954,-25.29856,"MALE"
"Adelie","Biscoe",35.3,18.9,187,3800,9.21292,-24.3613,"FEMALE"
"Adelie","Biscoe",40.6,18.6,183,3550,8.93997,-25.36288,"MALE"
"Adelie","Biscoe",40.5,17.9,187,3200,8.08138,-25.49448,"FEMALE"
"Adelie","Biscoe",37.9,18.6,172,3150,8.38404,-25.19837,"FEMALE"
"Adelie","Biscoe",40.5,18.9,180,3950,8.90027,-25.11609,"MALE"
"Adelie","Dream",39.5,16.7,178,3250,9.69756,-25.11223,"FEMALE"
"Adelie","Dream",37.2,18.1,178,3900,9.72764,-25.0102,"MALE"
"Adelie","Dream",39.5,17.8,188,3300,9.66523,-25.0602,"FEMALE"
"Adelie","Dream",40.9,18.9,184,3900,8.79665,-25.14591,"MALE"
"Adelie","Dream",36.4,17,195,3325,9.17847,-25.23061,"FEMALE"
"Adelie","Dream",39.2,21.1,196,4150,9.15308,-25.03469,"MALE"
"Adelie","Dream",38.8,20,190,3950,9.18985,-25.12255,"MALE"
"Adelie","Dream",42.2,18.5,180,3550,8.04787,-25.49523,"FEMALE"
"Adelie","Dream",37.6,19.3,181,3300,9.41131,-25.04169,"FEMALE"
"Adelie","Dream",36.5,18,182,3150,9.68933,-24.4228,"FEMALE"
"Adelie","Dream",36,18.5,186,3100,9.50772,-25.03492,"FEMALE"
"Adelie","Dream",44.1,19.7,196,4400,9.2372,-24.52698,"MALE"
"Adelie","Dream",37,16.9,185,3000,9.36392,-25.01745,"FEMALE"
"Adelie","Dream",39.6,18.8,190,4600,9.49106,-24.10255,"MALE"
"Adelie","Dream",36,17.9,190,3450,9.51784,-25.07683,"FEMALE"
"Adelie","Dream",42.3,21.2,191,4150,8.87988,-25.18543,"MALE"
"Adelie","Biscoe",39.6,17.7,186,3500,8.46616,-26.12989,"FEMALE"
"Adelie","Biscoe",40.1,18.9,188,4300,8.51362,-26.55602,"MALE"
"Adelie","Biscoe",35,17.9,190,3450,8.19539,-26.17213,"FEMALE"
"Adelie","Biscoe",42,19.5,200,4050,8.48095,-26.3146,"MALE"
"Adelie","Biscoe",34.5,18.1,187,2900,8.41837,-26.54718,"FEMALE"
"Adelie","Biscoe",41.4,18.6,191,3700,8.35396,-26.27853,"MALE"
"Adelie","Biscoe",39,17.5,186,3550,8.57199,-26.07188,"FEMALE"
"Adelie","Biscoe",40.6,18.8,193,3800,8.56674,-25.98843,"MALE"
"Adelie","Biscoe",36.5,16.6,181,2850,9.07878,-25.88156,"FEMALE"
"Adelie","Biscoe",37.6,19.1,194,3750,9.108,-25.89677,"MALE"
"Adelie","Biscoe",35.7,16.9,185,3150,8.96472,-26.40943,"FEMALE"
"Adelie","Biscoe",41.3,21.1,195,4400,8.74802,-26.37809,"MALE"
"Adelie","Biscoe",37.6,17,185,3600,8.58063,-26.21569,"FEMALE"
"Adelie","Biscoe",41.1,18.2,192,4050,8.62264,-26.60023,"MALE"
"Adelie","Biscoe",36.4,17.1,184,2850,8.62623,-26.1165,"FEMALE"
"Adelie","Biscoe",41.6,18,192,3950,8.85562,-26.09294,"MALE"
"Adelie","Biscoe",35.5,16.2,195,3350,8.56192,-25.95541,"FEMALE"
"Adelie","Biscoe",41.1,19.1,188,4100,8.71078,-25.81012,"MALE"
"Adelie","Torgersen",35.9,16.6,190,3050,8.47781,-26.07821,"FEMALE"
"Adelie","Torgersen",41.8,19.4,198,4450,8.86853,-26.06209,"MALE"
"Adelie","Torgersen",33.5,19,190,3600,7.88863,-26.63085,"FEMALE"
"Adelie","Torgersen",39.7,18.4,190,3900,9.29808,-25.23453,"MALE"
"Adelie","Torgersen",39.6,17.2,196,3550,8.33524,-26.55351,"FEMALE"
"Adelie","Torgersen",45.8,18.9,197,4150,8.18658,-26.45978,"MALE"
"Adelie","Torgersen",35.5,17.5,190,3700,8.70642,-26.15003,"FEMALE"
"Adelie","Torgersen",42.8,18.5,195,4250,8.2993,-26.38986,"MALE"
"Adelie","Torgersen",40.9,16.8,191,3700,8.47257,-26.02002,"FEMALE"
"Adelie","Torgersen",37.2,19.4,184,3900,8.3554,-26.44787,"MALE"
"Adelie","Torgersen",36.2,16.1,187,3550,7.82381,-26.51382,"FEMALE"
"Adelie","Torgersen",42.1,19.1,195,4000,9.05736,-25.81513,"MALE"
"Adelie","Torgersen",34.6,17.2,189,3200,7.69778,-26.5387,"FEMALE"
"Adelie","Torgersen",42.9,17.6,196,4700,8.63259,-26.23027,"MALE"
"Adelie","Torgersen",36.7,18.8,187,3800,7.88494,-26.24837,"FEMALE"
"Adelie","Torgersen",35.1,19.4,193,4200,8.90002,-26.46254,"MALE"
"Adelie","Dream",37.3,17.8,191,3350,8.32718,-26.38396,"FEMALE"
"Adelie","Dream",41.3,20.3,194,3550,9.14863,-26.09635,"MALE"
"Adelie","Dream",36.3,19.5,190,3800,8.57087,-26.22227,"MALE"
"Adelie","Dream",36.9,18.6,189,3500,8.59147,-26.08165,"FEMALE"
"Adelie","Dream",38.3,19.2,189,3950,9.07826,-26.12417,"MALE"
"Adelie","Dream",38.9,18.8,190,3600,8.36936,-26.11199,"FEMALE"
"Adelie","Dream",35.7,18,202,3550,8.46531,-26.05621,"FEMALE"
"Adelie","Dream",41.1,18.1,205,4300,8.77018,-25.83352,"MALE"
"Adelie","Dream",34,17.1,185,3400,8.01485,-26.69543,"FEMALE"
"Adelie","Dream",39.6,18.1,186,4450,8.49915,-26.42406,"MALE"
"Adelie","Dream",36.2,17.3,187,3300,8.90723,-26.30037,"FEMALE"
"Adelie","Dream",40.8,18.9,208,4300,8.48204,-26.57941,"MALE"
"Adelie","Dream",38.1,18.6,190,3700,8.10277,-26.50086,"FEMALE"
"Adelie","Dream",40.3,18.5,196,4350,8.39459,-26.01152,"MALE"
"Adelie","Dream",33.1,16.1,178,2900,9.04218,-26.15775,"FEMALE"
"Adelie","Dream",43.2,18.5,192,4100,8.97025,-26.03679,"MALE"
"Adelie","Biscoe",35,17.9,192,3725,8.84451,-26.28055,"FEMALE"
"Adelie","Biscoe",41,20,203,4725,9.01079,-26.38085,"MALE"
"Adelie","Biscoe",37.7,16,183,3075,9.2151,-26.2253,"FEMALE"
"Adelie","Biscoe",37.8,20,190,4250,9.51929,-25.69199,"MALE"
"Adelie","Biscoe",37.9,18.6,193,2925,9.02642,-25.86482,"FEMALE"
"Adelie","Biscoe",39.7,18.9,184,3550,8.85699,-25.80208,"MALE"
"Adelie","Biscoe",38.6,17.2,199,3750,8.77322,-26.48973,"FEMALE"
"Adelie","Biscoe",38.2,20,190,3900,9.59245,-25.70711,"MALE"
"Adelie","Biscoe",38.1,17,181,3175,9.79532,-25.27385,"FEMALE"
"Adelie","Biscoe",43.2,19,197,4775,9.31735,-25.45171,"MALE"
"Adelie","Biscoe",38.1,16.5,198,3825,8.43951,-26.57563,"FEMALE"
"Adelie","Biscoe",45.6,20.3,191,4600,8.65466,-26.32909,"MALE"
"Adelie","Biscoe",39.7,17.7,193,3200,9.02657,-26.06203,"FEMALE"
"Adelie","Biscoe",42.2,19.5,197,4275,8.80186,-26.41218,"MALE"
"Adelie","Biscoe",39.6,20.7,191,3900,8.80967,-26.78958,"FEMALE"
"Adelie","Biscoe",42.7,18.3,196,4075,8.91434,-26.42018,"MALE"
"Adelie","Torgersen",38.6,17,188,2900,9.18021,-25.77264,"FEMALE"
"Adelie","Torgersen",37.3,20.5,199,3775,9.49645,-26.36678,"MALE"
"Adelie","Torgersen",35.7,17,189,3350,8.96436,-23.90309,"FEMALE"
"Adelie","Torgersen",41.1,18.6,189,3325,9.32277,-26.09989,"MALE"
"Adelie","Torgersen",36.2,17.2,187,3150,9.04296,-26.19444,"FEMALE"
"Adelie","Torgersen",37.7,19.8,198,3500,9.11066,-26.42563,"MALE"
"Adelie","Torgersen",40.2,17,176,3450,9.30722,-25.61039,"FEMALE"
"Adelie","Torgersen",41.4,18.5,202,3875,9.59462,-25.42621,"MALE"
"Adelie","Torgersen",35.2,15.9,186,3050,8.81668,-25.95399,"FEMALE"
"Adelie","Torgersen",40.6,19,199,4000,9.22537,-25.60826,"MALE"
"Adelie","Torgersen",38.8,17.6,191,3275,8.88098,-25.89741,"FEMALE"
"Adelie","Torgersen",41.5,18.3,195,4300,8.52566,-26.0245,"MALE"
"Adelie","Torgersen",39,17.1,191,3050,9.19031,-25.73722,"FEMALE"
"Adelie","Torgersen",44.1,18,210,4000,9.10702,-26.01363,"MALE"
"Adelie","Torgersen",38.5,17.9,190,3325,8.9846,-25.57956,"FEMALE"
"Adelie","Torgersen",43.1,19.2,197,3500,8.86495,-26.1396,"MALE"
"Adelie","Dream",36.8,18.5,193,3500,8.98705,-25.57647,"FEMALE"
"Adelie","Dream",37.5,18.5,199,4475,8.56708,-26.49288,"MALE"
"Adelie","Dream",38.1,17.6,187,3425,8.717,-25.77951,"FEMALE"
"Adelie","Dream",41.1,17.5,190,3900,8.94365,-26.06943,"MALE"
"Adelie","Dream",35.6,17.5,191,3175,8.75984,-25.97696,"FEMALE"
"Adelie","Dream",40.2,20.1,200,3975,8.95998,-26.32601,"MALE"
"Adelie","Dream",37,16.5,185,3400,8.61651,-26.07021,"FEMALE"
"Adelie","Dream",39.7,17.9,193,4250,9.25769,-25.88798,"MALE"
"Adelie","Dream",40.2,17.1,193,3400,9.2881,-25.54976,"FEMALE"
"Adelie","Dream",40.6,17.2,187,3475,9.23408,-26.01549,"MALE"
"Adelie","Dream",32.1,15.5,188,3050,8.79787,-26.61075,"FEMALE"
"Adelie","Dream",40.7,17,190,3725,9.05674,-25.79529,"MALE"
"Adelie","Dream",37.3,16.8,192,3000,9.06829,-25.85203,"FEMALE"
"Adelie","Dream",39,18.7,185,3650,9.22033,-26.03442,"MALE"
"Adelie","Dream",39.2,18.6,190,4250,9.11006,-25.79549,"MALE"
"Adelie","Dream",36.6,18.4,184,3475,8.68744,-25.8306,"FEMALE"
"Adelie","Dream",36,17.8,195,3450,8.94332,-25.79189,"FEMALE"
"Adelie","Dream",37.8,18.1,193,3750,8.97533,-26.03495,"MALE"
"Adelie","Dream",36,17.1,187,3700,8.93465,-26.07081,"FEMALE"
"Adelie","Dream",41.5,18.5,201,4000,8.8964,-26.06967,"MALE"
"Chinstrap","Dream",46.5,17.9,192,3500,9.03935,-24.30229,"FEMALE"
"Chinstrap","Dream",50,19.5,196,3900,8.92069,-24.23592,"MALE"
"Chinstrap","Dream",51.3,19.2,193,3650,9.29078,-24.7557,"MALE"
"Chinstrap","Dream",45.4,18.7,188,3525,8.64701,-24.62717,"FEMALE"
"Chinstrap","Dream",52.7,19.8,197,3725,9.00642,-24.61867,"MALE"
"Chinstrap","Dream",45.2,17.8,198,3950,8.88942,-24.49433,"FEMALE"
"Chinstrap","Dream",46.1,18.2,178,3250,8.85664,-24.55644,"FEMALE"
"Chinstrap","Dream",51.3,18.2,197,3750,8.63701,-24.84059,"MALE"
"Chinstrap","Dream",46,18.9,195,4150,8.47173,-24.29229,"FEMALE"
"Chinstrap","Dream",51.3,19.9,198,3700,8.79581,-24.36088,"MALE"
"Chinstrap","Dream",46.6,17.8,193,3800,8.95063,-24.59897,"FEMALE"
"Chinstrap","Dream",51.7,20.3,194,3775,8.68747,-24.38751,"MALE"
"Chinstrap","Dream",47,17.3,185,3700,8.72037,-24.80526,"FEMALE"
"Chinstrap","Dream",52,18.1,201,4050,9.0233,-24.38933,"MALE"
"Chinstrap","Dream",45.9,17.1,190,3575,9.12277,-24.90024,"FEMALE"
"Chinstrap","Dream",50.5,19.6,201,4050,9.8059,-24.7294,"MALE"
"Chinstrap","Dream",50.3,20,197,3300,10.02019,-24.54704,"MALE"
"Chinstrap","Dream",58,17.8,181,3700,9.14382,-24.57994,"FEMALE"
"Chinstrap","Dream",46.4,18.6,190,3450,9.32105,-24.64162,"FEMALE"
"Chinstrap","Dream",49.2,18.2,195,4400,9.27158,-24.64335,"MALE"
"Chinstrap","Dream",42.4,17.3,181,3600,9.35138,-24.6879,"FEMALE"
"Chinstrap","Dream",48.5,17.5,191,3400,9.42666,-24.26375,"MALE"
"Chinstrap","Dream",43.2,16.6,187,2900,9.35416,-25.01185,"FEMALE"
"Chinstrap","Dream",50.6,19.4,193,3800,9.28153,-24.97134,"MALE"
"Chinstrap","Dream",46.7,17.9,195,3300,9.74144,-24.59467,"FEMALE"
"Chinstrap","Dream",52,19,197,4150,9.36799,-24.47142,"MALE"
"Chinstrap","Dream",50.5,18.4,200,3400,8.9399,-23.89017,"FEMALE"
"Chinstrap","Dream",49.5,19,200,3800,9.63074,-24.34684,"MALE"
"Chinstrap","Dream",46.4,17.8,191,3700,9.37369,-24.52896,"FEMALE"
"Chinstrap","Dream",52.8,20,205,4550,9.25177,-24.69638,"MALE"
"Chinstrap","Dream",40.9,16.6,187,3200,9.08458,-24.54903,"FEMALE"
