"Species","Culmen.Length..mm.","Culmen.Depth..mm.","Body.Mass..g.","Delta.15.N..o.oo.","Delta.13.C..o.oo.","Sex"
"Adelie",39.5,17.4,3800,8.94956,-24.69454,"FEMALE"
"Adelie",40.3,18,3250,8.36821,-25.33302,"FEMALE"
"Adelie",36.7,19.3,3450,8.76651,-25.32426,"FEMALE"
"Adelie",39.3,20.6,3650,8.66496,-25.29805,"MALE"
"Adelie",38.9,17.8,3625,9.18718,-25.21799,"FEMALE"
"Adelie",39.2,19.6,4675,9.4606,-24.89958,"MALE"
"Adelie",34.6,21.1,4400,8.55583,-25.22588,"MALE"
"Adelie",38.7,19,3450,9.18528,-25.06691,"FEMALE"
"Adelie",42.5,20.7,4500,8.67538,-25.13993,"MALE"
"Adelie",34.4,18.4,3325,8.47827,-25.23319,"FEMALE"
"Adelie",46,21.5,4200,9.11616,-24.77227,"MALE"
"Adelie",37.8,18.3,3400,8.73762,-25.09383,"FEMALE"
"Adelie",37.7,18.7,3600,8.66271,-25.0639,"MALE"
"Adelie",35.9,19.2,3800,9.22286,-25.03474,"FEMALE"
"Adelie",38.2,18.1,3950,8.43423,-25.22664,"MALE"
"Adelie",38.8,17.2,3800,9.63954,-25.29856,"MALE"
"Adelie",35.3,18.9,3800,9.21292,-24.3613,"FEMALE"
"Adelie",40.6,18.6,3550,8.93997,-25.36288,"MALE"
"Adelie",40.5,17.9,3200,8.08138,-25.49448,"FEMALE"
"Adelie",37.9,18.6,3150,8.38404,-25.19837,"FEMALE"
"Adelie",40.5,18.9,3950,8.90027,-25.11609,"MALE"
"Adelie",39.5,16.7,3250,9.69756,-25.11223,"FEMALE"
"Adelie",37.2,18.1,3900,9.72764,-25.0102,"MALE"
"Adelie",39.5,17.8,3300,9.66523,-25.0602,"FEMALE"
"Adelie",40.9,18.9,3900,8.79665,-25.14591,"MALE"
"Adelie",36.4,17,3325,9.17847,-25.23061,"FEMALE"
"Adelie",39.2,21.1,4150,9.15308,-25.03469,"MALE"
"Adelie",38.8,20,3950,9.18985,-25.12255,"MALE"
