@relation cleaned_penguin_data

@attribute Species {Adelie,Chinstrap,Gentoo}
@attribute Island {Torgersen,Biscoe,Dream}
@attribute Culmen.Length..mm. numeric
@attribute Culmen.Depth..mm. numeric
@attribute Flipper.Length..mm. numeric
@attribute Body.Mass..g. numeric
@attribute Sex {FEMALE,MALE}
@attribute Delta.15.N..o.oo. numeric
@attribute Delta.13.C..o.oo. numeric

@data
Adelie,Torgersen,39.5,17.4,186,3800,FEMALE,8.94956,-24.69454
Adelie,Torgersen,40.3,18,195,3250,FEMALE,8.36821,-25.33302
Adelie,Torgersen,36.7,19.3,193,3450,FEMALE,8.76651,-25.32426
Adelie,Torgersen,39.3,20.6,190,3650,MALE,8.66496,-25.29805
Adelie,Torgersen,38.9,17.8,181,3625,FEMALE,9.18718,-25.21799
Adelie,Torgersen,39.2,19.6,195,4675,MALE,9.4606,-24.89958
Adelie,Torgersen,34.6,21.1,198,4400,MALE,8.55583,-25.22588
Adelie,Torgersen,38.7,19,195,3450,FEMALE,9.18528,-25.06691
Adelie,Torgersen,42.5,20.7,197,4500,MALE,8.67538,-25.13993
Adelie,Torgersen,34.4,18.4,184,3325,FEMALE,8.47827,-25.23319
Adelie,Torgersen,46,21.5,194,4200,MALE,9.11616,-24.77227
Adelie,Biscoe,37.8,18.3,174,3400,FEMALE,8.73762,-25.09383
Adelie,Biscoe,37.7,18.7,180,3600,MALE,8.66271,-25.0639
Adelie,Biscoe,35.9,19.2,189,3800,FEMALE,9.22286,-25.03474
Adelie,Biscoe,38.2,18.1,185,3950,MALE,8.43423,-25.22664
Adelie,Biscoe,38.8,17.2,180,3800,MALE,9.63954,-25.29856
Adelie,Biscoe,35.3,18.9,187,3800,FEMALE,9.21292,-24.3613
Adelie,Biscoe,40.6,18.6,183,3550,MALE,8.93997,-25.36288
Adelie,Biscoe,40.5,17.9,187,3200,FEMALE,8.08138,-25.49448
Adelie,Biscoe,37.9,18.6,172,3150,FEMALE,8.38404,-25.19837
Adelie,Biscoe,40.5,18.9,180,3950,MALE,8.90027,-25.11609
Adelie,Dream,39.5,16.7,178,3250,FEMALE,9.69756,-25.11223
Adelie,Dream,37.2,18.1,178,3900,MALE,9.72764,-25.0102
Adelie,Dream,39.5,17.8,188,3300,FEMALE,9.66523,-25.0602
Adelie,Dream,40.9,18.9,184,3900,MALE,8.79665,-25.14591
Adelie,Dream,36.4,17,195,3325,FEMALE,9.17847,-25.23061
Adelie,Dream,39.2,21.1,196,4150,MALE,9.15308,-25.03469
Adelie,Dream,38.8,20,190,3950,MALE,9.18985,-25.12255
Adelie,Dream,42.2,18.5,180,3550,FEMALE,8.04787,-25.49523
Adelie,Dream,37.6,19.3,181,3300,FEMALE,9.41131,-25.04169
Adelie,Dream,36.5,18,182,3150,FEMALE,9.68933,-24.4228
Adelie,Dream,36,18.5,186,3100,FEMALE,9.50772,-25.03492
Adelie,Dream,44.1,19.7,196,4400,MALE,9.2372,-24.52698
Adelie,Dream,37,16.9,185,3000,FEMALE,9.36392,-25.01745
Adelie,Dream,39.6,18.8,190,4600,MALE,9.49106,-24.10255
Adelie,Dream,36,17.9,190,3450,FEMALE,9.51784,-25.07683
Adelie,Dream,42.3,21.2,191,4150,MALE,8.87988,-25.18543
Adelie,Biscoe,39.6,17.7,186,3500,FEMALE,8.46616,-26.12989
Adelie,Biscoe,40.1,18.9,188,4300,MALE,8.51362,-26.55602
Adelie,Biscoe,35,17.9,190,3450,FEMALE,8.19539,-26.17213
Adelie,Biscoe,42,19.5,200,4050,MALE,8.48095,-26.3146
Adelie,Biscoe,34.5,18.1,187,2900,FEMALE,8.41837,-26.54718
Adelie,Biscoe,41.4,18.6,191,3700,MALE,8.35396,-26.27853
Adelie,Biscoe,39,17.5,186,3550,FEMALE,8.57199,-26.07188
Adelie,Biscoe,40.6,18.8,193,3800,MALE,8.56674,-25.98843
Adelie,Biscoe,36.5,16.6,181,2850,FEMALE,9.07878,-25.88156
Adelie,Biscoe,37.6,19.1,194,3750,MALE,9.108,-25.89677
Adelie,Biscoe,35.7,16.9,185,3150,FEMALE,8.96472,-26.40943
Adelie,Biscoe,41.3,21.1,195,4400,MALE,8.74802,-26.37809
Adelie,Biscoe,37.6,17,185,3600,FEMALE,8.58063,-26.21569
Adelie,Biscoe,41.1,18.2,192,4050,MALE,8.62264,-26.60023
Adelie,Biscoe,36.4,17.1,184,2850,FEMALE,8.62623,-26.1165
Adelie,Biscoe,41.6,18,192,3950,MALE,8.85562,-26.09294
Adelie,Biscoe,35.5,16.2,195,3350,FEMALE,8.56192,-25.95541
Adelie,Biscoe,41.1,19.1,188,4100,MALE,8.71078,-25.81012
Adelie,Torgersen,35.9,16.6,190,3050,FEMALE,8.47781,-26.07821
Adelie,Torgersen,41.8,19.4,198,4450,MALE,8.86853,-26.06209
Adelie,Torgersen,33.5,19,190,3600,FEMALE,7.88863,-26.63085
Adelie,Torgersen,39.7,18.4,190,3900,MALE,9.29808,-25.23453
Adelie,Torgersen,39.6,17.2,196,3550,FEMALE,8.33524,-26.55351
Adelie,Torgersen,45.8,18.9,197,4150,MALE,8.18658,-26.45978
Adelie,Torgersen,35.5,17.5,190,3700,FEMALE,8.70642,-26.15003
Adelie,Torgersen,42.8,18.5,195,4250,MALE,8.2993,-26.38986
Adelie,Torgersen,40.9,16.8,191,3700,FEMALE,8.47257,-26.02002
Adelie,Torgersen,37.2,19.4,184,3900,MALE,8.3554,-26.44787
Adelie,Torgersen,36.2,16.1,187,3550,FEMALE,7.82381,-26.51382
Adelie,Torgersen,42.1,19.1,195,4000,MALE,9.05736,-25.81513
Adelie,Torgersen,34.6,17.2,189,3200,FEMALE,7.69778,-26.5387
Adelie,Torgersen,42.9,17.6,196,4700,MALE,8.63259,-26.23027
Adelie,Torgersen,36.7,18.8,187,3800,FEMALE,7.88494,-26.24837
Adelie,Torgersen,35.1,19.4,193,4200,MALE,8.90002,-26.46254
Adelie,Dream,37.3,17.8,191,3350,FEMALE,8.32718,-26.38396
